DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"EVERYDAY COFFEE",BROOKLYN,380,"MARCUS GARVEY BLVD",11221,"380 MARCUS GARVEY BLVD",06/21/17,,,"Not Applicable",0,A,40.684156,-73.938414,1,rooftop,380,"Marcus Garvey Blvd",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"LOUD BABY",BROOKLYN,696,"FLATBUSH AVE",11225,"696 FLATBUSH AVE",11/21/17,,,"Not Applicable",0,A,40.656408,-73.960222,1,rooftop,696,"Flatbush Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
STARBUCKS,BROOKLYN,7419,"3 AVENUE",11209,"7419 3 AVENUE",08/18/17,,,"Not Applicable",0,A,40.631557,-74.027592,1,rooftop,7419,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"MIRROR TEA HOUSE",BROOKLYN,575,"UNION ST",11215,"575 UNION ST",03/30/17,,,"Not Applicable",0,A,40.678798,-73.98625,1,rooftop,575,"Union St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"MARKET COFFEE",BROOKLYN,850,"3RD AVE",11232,"850 3RD AVE",01/04/17,,,"Not Applicable",0,A,40.658764,-74.003494,1,rooftop,850,"3rd Ave",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"STARBUCKS COFFEE #48170",BROOKLYN,470,"4TH AVE",11215,"470 4TH AVE",11/29/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.669602,-73.989491,1,range_interpolation,470,"4th Ave",Brooklyn,NY,"Kings County",11215,US,"TIGER/Line® dataset from the US Census Bureau"
"GIVING COFFEE",BROOKLYN,210,"41ST ST",11232,"210 41ST ST",10/24/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",2,A,40.653819,-74.011446,1,rooftop,210,"41st St",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"ODD FOX COFFEE",BROOKLYN,984,"MANHATTAN AVE",11222,"984 MANHATTAN AVE",02/05/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.732721,-73.95452,1,rooftop,984,"Manhattan Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"DAILY PRESS BED-STUY",BROOKLYN,505,"FRANKLIN AVENUE",11238,"505 FRANKLIN AVENUE",06/07/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.681404,-73.955593,1,range_interpolation,505,"Franklin Ave",Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
Buntopia,BROOKLYN,994,BROADWAY,11221,"994 BROADWAY",03/16/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.696068,-73.933914,1,rooftop,994,Broadway,Brooklyn,NY,"Kings County",11221,US,"City of New York"
"LET'S DESSERT",BROOKLYN,2108,"BATH AVE",11214,"2108 BATH AVE",01/05/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.599719,-73.99928,1,rooftop,2108,"Bath Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
TAZZINI,BROOKLYN,72,"CLARK STREET",11201,"72 CLARK STREET",06/07/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.697475,-73.993426,1,rooftop,72,"Clark St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"GRADE COFFEE",BROOKLYN,101,"N 8TH ST",11249,"101 N 8TH ST",08/08/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.719769,-73.959137,1,rooftop,101,"N 8th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"BREAD & JOE",BROOKLYN,618,"4TH AVE",11215,"618 4TH AVE",10/14/17,08C,"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",2,A,40.664817,-73.993789,1,rooftop,618,"4th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"TOBY'S ESTATE",BROOKLYN,125,"NORTH 6 STREET",11249,"125 NORTH 6 STREET",02/05/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.717955,-73.959207,1,rooftop,125,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
MATTER,BROOKLYN,7604,"3RD AVE",11209,"7604 3RD AVE",09/13/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.630636,-74.028293,1,rooftop,7604,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"BROOKLYN DIAMOND COFFEE",BROOKLYN,431,"AVENUE P",11223,"431 AVENUE P",02/09/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.593225,-73.966924,1,range_interpolation,431,"Ave W",Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
STARBUCKS,BROOKLYN,3035,"CROPSEY AVENUE",11224,"3035 CROPSEY AVENUE",02/06/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.580861,-73.98553,1,range_interpolation,3035,"Cropsey Ave",Brooklyn,NY,"Kings County",11224,US,"TIGER/Line® dataset from the US Census Bureau"
LUNITAS,BROOKLYN,1039A,"FULTON ST",11238,"1039A FULTON ST",03/07/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.682237,-73.960331,1,rooftop,1039,"Fulton St",Brooklyn,NY,"Kings County",11238,US,"City of New York"
SORRENTO,BROOKLYN,7716,"18 AVENUE",11214,"7716 18 AVENUE",04/13/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.611946,-73.997645,1,rooftop,7716,"18th Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"BROOKLYN DIAMOND COFFEE",BROOKLYN,431,"AVENUE P",11223,"431 AVENUE P",02/09/17,22F,,"Not Applicable",2,A,40.593225,-73.966924,1,range_interpolation,431,"Ave W",Brooklyn,NY,"Kings County",11223,US,"TIGER/Line® dataset from the US Census Bureau"
STARBUCKS,BROOKLYN,394,"MYRTLE AVE",11205,"394 MYRTLE AVE",07/20/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.693027,-73.970139,1,rooftop,394,"Myrtle Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,5510,"5 AVENUE",11220,"5510 5 AVENUE",11/06/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.642126,-74.013616,1,rooftop,5510,"5th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"BROOKLYN ROASTING COMPANY",BROOKLYN,2,"MAIN ST",11201,"2 MAIN ST",09/11/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.703696,-73.99085,1,rooftop,2,"Main St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"DOT & LINE",BROOKLYN,253,"BERGEN ST",11217,"253 BERGEN ST",02/24/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.684143,-73.983592,1,rooftop,253,"Bergen St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"ROGER THAT CAFE",BROOKLYN,854,"ROGERS AVE",11226,"854 ROGERS AVE",06/21/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,A,40.649787,-73.952537,1,rooftop,854,"Rogers Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"COCOA BAR BROOKLYN",BROOKLYN,228,"7th Ave",11215,"228 7th Ave",02/01/17,10I,"Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",2,A,40.670188,-73.979012,1,rooftop,228,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
